symbol,dll,export,lib
PeerGroupConnectByAddress,P2P.dll,PeerGroupConnectByAddress,p2p.lib
PeerGroupCreate,P2P.dll,PeerGroupCreate,p2p.lib
PeerGroupCreateInvitation,P2P.dll,PeerGroupCreateInvitation,p2p.lib
PeerGroupCreatePasswordInvitation,P2P.dll,PeerGroupCreatePasswordInvitation,p2p.lib
PeerGroupDelete,P2P.dll,PeerGroupDelete,p2p.lib
PeerGroupDeleteRecord,P2P.dll,PeerGroupDeleteRecord,p2p.lib
PeerGroupEnumConnections,P2P.dll,PeerGroupEnumConnections,p2p.lib
PeerGroupEnumMembers,P2P.dll,PeerGroupEnumMembers,p2p.lib
PeerGroupEnumRecords,P2P.dll,PeerGroupEnumRecords,p2p.lib
PeerGroupExportConfig,P2P.dll,PeerGroupExportConfig,p2p.lib
PeerGroupExportDatabase,P2P.dll,PeerGroupExportDatabase,p2p.lib
PeerGroupGetEventData,P2P.dll,PeerGroupGetEventData,p2p.lib
PeerGroupGetProperties,P2P.dll,PeerGroupGetProperties,p2p.lib
PeerGroupGetRecord,P2P.dll,PeerGroupGetRecord,p2p.lib
PeerGroupGetStatus,P2P.dll,PeerGroupGetStatus,p2p.lib
PeerGroupImportConfig,P2P.dll,PeerGroupImportConfig,p2p.lib
PeerGroupImportDatabase,P2P.dll,PeerGroupImportDatabase,p2p.lib
PeerGroupIssueCredentials,P2P.dll,PeerGroupIssueCredentials,p2p.lib
PeerGroupJoin,P2P.dll,PeerGroupJoin,p2p.lib
PeerGroupOpen,P2P.dll,PeerGroupOpen,p2p.lib
PeerGroupOpenDirectConnection,P2P.dll,PeerGroupOpenDirectConnection,p2p.lib
PeerGroupParseInvitation,P2P.dll,PeerGroupParseInvitation,p2p.lib
PeerGroupPasswordJoin,P2P.dll,PeerGroupPasswordJoin,p2p.lib
PeerGroupPeerTimeToUniversalTime,P2P.dll,PeerGroupPeerTimeToUniversalTime,p2p.lib
PeerGroupRegisterEvent,P2P.dll,PeerGroupRegisterEvent,p2p.lib
PeerGroupResumePasswordAuthentication,P2P.dll,PeerGroupResumePasswordAuthentication,p2p.lib
PeerGroupSearchRecords,P2P.dll,PeerGroupSearchRecords,p2p.lib
PeerGroupSendData,P2P.dll,PeerGroupSendData,p2p.lib
PeerGroupSetProperties,P2P.dll,PeerGroupSetProperties,p2p.lib
PeerGroupShutdown,P2P.dll,PeerGroupShutdown,p2p.lib
PeerGroupStartup,P2P.dll,PeerGroupStartup,p2p.lib
PeerGroupUniversalTimeToPeerTime,P2P.dll,PeerGroupUniversalTimeToPeerTime,p2p.lib
PeerGroupUnregisterEvent,P2P.dll,PeerGroupUnregisterEvent,p2p.lib
PeerGroupUpdateRecord,P2P.dll,PeerGroupUpdateRecord,p2p.lib
PeerHostNameToPeerName,P2P.dll,PeerHostNameToPeerName,p2p.lib
PeerIdentityCreate,P2P.dll,PeerIdentityCreate,p2p.lib
PeerIdentityDelete,P2P.dll,PeerIdentityDelete,p2p.lib
PeerIdentityExport,P2P.dll,PeerIdentityExport,p2p.lib
PeerIdentityGetCert,P2P.dll,PeerIdentityGetCert,p2p.lib
PeerIdentityGetCryptKey,P2P.dll,PeerIdentityGetCryptKey,p2p.lib
PeerIdentityGetDefault,P2P.dll,PeerIdentityGetDefault,p2p.lib
PeerIdentityGetFriendlyName,P2P.dll,PeerIdentityGetFriendlyName,p2p.lib
PeerIdentityGetXML,P2P.dll,PeerIdentityGetXML,p2p.lib
PeerIdentityImport,P2P.dll,PeerIdentityImport,p2p.lib
PeerIdentitySetFriendlyName,P2P.dll,PeerIdentitySetFriendlyName,p2p.lib
PeerNameToPeerHostName,P2P.dll,PeerNameToPeerHostName,p2p.lib
PeerPnrpEndResolve,P2P.dll,PeerPnrpEndResolve,p2p.lib
PeerPnrpGetCloudInfo,P2P.dll,PeerPnrpGetCloudInfo,p2p.lib
PeerPnrpGetEndpoint,P2P.dll,PeerPnrpGetEndpoint,p2p.lib
PeerPnrpRegister,P2P.dll,PeerPnrpRegister,p2p.lib
PeerPnrpResolve,P2P.dll,PeerPnrpResolve,p2p.lib
PeerPnrpShutdown,P2P.dll,PeerPnrpShutdown,p2p.lib
PeerPnrpStartResolve,P2P.dll,PeerPnrpStartResolve,p2p.lib
PeerPnrpStartup,P2P.dll,PeerPnrpStartup,p2p.lib
PeerPnrpUnregister,P2P.dll,PeerPnrpUnregister,p2p.lib
PeerPnrpUpdateRegistration,P2P.dll,PeerPnrpUpdateRegistration,p2p.lib
PeerSSPAddCredentials,P2P.dll,PeerSSPAddCredentials,p2p.lib
PeerSSPRemoveCredentials,P2P.dll,PeerSSPRemoveCredentials,p2p.lib
PerfCreateInstance,ADVAPI32.dll,PerfCreateInstance,AdvAPI32.Lib
PerfDecrementULongCounterValue,ADVAPI32.dll,PerfDecrementULongCounterValue,AdvAPI32.Lib
PerfDecrementULongLongCounterValue,ADVAPI32.dll,PerfDecrementULongLongCounterValue,AdvAPI32.Lib
PerfDeleteInstance,ADVAPI32.dll,PerfDeleteInstance,AdvAPI32.Lib
PerfIncrementULongCounterValue,ADVAPI32.dll,PerfIncrementULongCounterValue,AdvAPI32.Lib
PerfIncrementULongLongCounterValue,ADVAPI32.dll,PerfIncrementULongLongCounterValue,AdvAPI32.Lib
PerfQueryInstance,ADVAPI32.dll,PerfQueryInstance,AdvAPI32.Lib
PerfSetCounterRefValue,ADVAPI32.dll,PerfSetCounterRefValue,AdvAPI32.Lib
PerfSetCounterSetInfo,ADVAPI32.dll,PerfSetCounterSetInfo,AdvAPI32.Lib
PerfSetULongCounterValue,ADVAPI32.dll,PerfSetULongCounterValue,AdvAPI32.Lib
PerfSetULongLongCounterValue,ADVAPI32.dll,PerfSetULongLongCounterValue,AdvAPI32.Lib
PerfStartProvider,ADVAPI32.dll,PerfStartProvider,AdvAPI32.Lib
PerfStartProviderEx,ADVAPI32.dll,PerfStartProviderEx,AdvAPI32.Lib
PerfStopProvider,ADVAPI32.dll,PerfStopProvider,AdvAPI32.Lib
PerformOperationOverUrlCacheA,WININET.dll,103,WinInet.Lib
PfAddFiltersToInterface,IPHLPAPI.DLL,PfAddFiltersToInterface,IPHlpApi.Lib
PfAddGlobalFilterToInterface,IPHLPAPI.DLL,PfAddGlobalFilterToInterface,IPHlpApi.Lib
PfBindInterfaceToIPAddress,IPHLPAPI.DLL,PfBindInterfaceToIPAddress,IPHlpApi.Lib
PfBindInterfaceToIndex,IPHLPAPI.DLL,PfBindInterfaceToIndex,IPHlpApi.Lib
PfCreateInterface,IPHLPAPI.DLL,PfCreateInterface,IPHlpApi.Lib
PfDeleteInterface,IPHLPAPI.DLL,PfDeleteInterface,IPHlpApi.Lib
PfDeleteLog,IPHLPAPI.DLL,PfDeleteLog,IPHlpApi.Lib
PfGetInterfaceStatistics,IPHLPAPI.DLL,PfGetInterfaceStatistics,IPHlpApi.Lib
PfMakeLog,IPHLPAPI.DLL,PfMakeLog,IPHlpApi.Lib
PfRebindFilters,IPHLPAPI.DLL,PfRebindFilters,IPHlpApi.Lib
PfRemoveFilterHandles,IPHLPAPI.DLL,PfRemoveFilterHandles,IPHlpApi.Lib
PfRemoveFiltersFromInterface,IPHLPAPI.DLL,PfRemoveFiltersFromInterface,IPHlpApi.Lib
PfRemoveGlobalFilterFromInterface,IPHLPAPI.DLL,PfRemoveGlobalFilterFromInterface,IPHlpApi.Lib
PfSetLogBuffer,IPHLPAPI.DLL,PfSetLogBuffer,IPHlpApi.Lib
PfTestPacket,IPHLPAPI.DLL,PfTestPacket,IPHlpApi.Lib
PfUnBindInterface,IPHLPAPI.DLL,PfUnBindInterface,IPHlpApi.Lib
PhysicalToLogicalPoint,USER32.dll,PhysicalToLogicalPoint,User32.Lib
PickIconDlg,SHELL32.dll,62,Shell32.Lib
Pie,GDI32.dll,Pie,Gdi32.Lib
PifMgr_CloseProperties,SHELL32.dll,13,Shell32.Lib
PifMgr_GetProperties,SHELL32.dll,10,Shell32.Lib
PifMgr_OpenProperties,SHELL32.dll,9,Shell32.Lib
PifMgr_SetProperties,SHELL32.dll,11,Shell32.Lib
PingComputer,USERENV.dll,135,UserEnv.Lib
PlayEnhMetaFile,GDI32.dll,PlayEnhMetaFile,Gdi32.Lib
PlayEnhMetaFileRecord,GDI32.dll,PlayEnhMetaFileRecord,Gdi32.Lib
PlayGdiScriptOnPrinterIC,WINSPOOL.DRV,PlayGdiScriptOnPrinterIC,WinSpool.Lib
PlayMetaFile,GDI32.dll,PlayMetaFile,Gdi32.Lib
PlayMetaFileRecord,GDI32.dll,PlayMetaFileRecord,Gdi32.Lib
PlaySound,WINMM.dll,PlaySound,WinMM.Lib
PlaySoundA,WINMM.dll,PlaySoundA,WinMM.Lib
PlaySoundW,WINMM.dll,PlaySoundW,WinMM.Lib
PlgBlt,GDI32.dll,PlgBlt,Gdi32.Lib
PolyBezier,GDI32.dll,PolyBezier,Gdi32.Lib
PolyBezierTo,GDI32.dll,PolyBezierTo,Gdi32.Lib
