symbol,version
SecFreeCallContext,10.0.26100
SetFlVirtualInterface,10.0.26100
SspiSetChannelBindingFlags,10.0.26100
SymGetParentWindow,10.0.26100
TlsGetValue2,10.0.26100
TraceConfigureLastBranchRecord,10.0.26100
TryCreatePackageDependency2,10.0.26100
TrySetLampArrayWorkerThreadAffinityMask,10.0.26100
UnregisterLampArrayCallback,10.0.26100
WSApSetPostRoutine,10.0.26100
WcmAcquirePowerIfSupported,10.0.26100
WcmReleasePowerIfSupported,10.0.26100
WinBioIsESSCapable,10.0.26100
WinHttpProtocolCompleteUpgrade,10.0.26100
WinHttpProtocolReceive,10.0.26100
WinHttpProtocolSend,10.0.26100
WinStationRegisterConsoleNotificationEx2,10.0.26100
WlanPrivateQuerySignalStrength,10.0.26100
WldpCanExecuteFileFromDetachedSignature,10.0.26100
WldpGetApplicationSettingBoolean,10.0.26100
WldpGetApplicationSettingStringList,10.0.26100
WldpGetApplicationSettingStringSet,10.0.26100
ZwAlertMultipleThreadByThreadId,10.0.26100
ZwAlertThreadByThreadIdEx,10.0.26100
ZwSetEventEx,10.0.26100
imp_WppRecorderLogDumpLiveData,10.0.26100
lmsourcesinfo,10.0.26100
sqlite3_autovacuum_pages,10.0.26100
sqlite3_changes64,10.0.26100
sqlite3_db_name,10.0.26100
sqlite3_error_offset,10.0.26100
sqlite3_is_interrupted,10.0.26100
sqlite3_stmt_explain,10.0.26100
sqlite3_total_changes64,10.0.26100
sqlite3_value_encoding,10.0.26100
sqlite3_vtab_distinct,10.0.26100
sqlite3_vtab_in,10.0.26100
sqlite3_vtab_in_first,10.0.26100
sqlite3_vtab_in_next,10.0.26100
sqlite3_vtab_rhs_value,10.0.26100
u_stringHasBinaryProperty,10.0.26100
ubrk_clone,10.0.26100
ucal_getTimeZoneOffsetFromLocal,10.0.26100
ucnv_clone,10.0.26100
ucol_clone,10.0.26100
udatpg_getDefaultHourCycle,10.0.26100
udtitvfmt_formatToResult,10.0.26100
udtitvfmt_getContext,10.0.26100
udtitvfmt_setContext,10.0.26100
unumf_resultToDecimalNumber,10.0.26100
unumrf_close,10.0.26100
unumrf_closeResult,10.0.26100
unumrf_formatDecimalRange,10.0.26100
unumrf_formatDoubleRange,10.0.26100
unumrf_openForSkeletonWithCollapseAndIdentityFallback,10.0.26100
unumrf_openResult,10.0.26100
unumrf_resultAsValue,10.0.26100
unumrf_resultGetFirstDecimalNumber,10.0.26100
unumrf_resultGetIdentityResult,10.0.26100
unumrf_resultGetSecondDecimalNumber,10.0.26100
uset_complementAllCodePoints,10.0.26100
uset_complementRange,10.0.26100
uset_complementString,10.0.26100
