symbol,dll,export,lib
_AccRewriteGetExplicitEntriesFromAcl@12,NTMARTA.dll,AccRewriteGetExplicitEntriesFromAcl,ntmarta.lib
_AccRewriteGetHandleRights@32,NTMARTA.dll,AccRewriteGetHandleRights,ntmarta.lib
_AccRewriteGetNamedRights@32,NTMARTA.dll,AccRewriteGetNamedRights,ntmarta.lib
_AccRewriteSetEntriesInAcl@16,NTMARTA.dll,AccRewriteSetEntriesInAcl,ntmarta.lib
_AccRewriteSetHandleRights@16,NTMARTA.dll,AccRewriteSetHandleRights,ntmarta.lib
_AccRewriteSetNamedRights@20,NTMARTA.dll,AccRewriteSetNamedRights,ntmarta.lib
_AccSetEntriesInAList@32,NTMARTA.dll,AccSetEntriesInAList,ntmarta.lib
_AccSetRunningUtilityState@12,OLEACC.dll,AccSetRunningUtilityState,OleAcc.Lib
_AccTreeResetNamedSecurityInfo@44,NTMARTA.dll,AccTreeResetNamedSecurityInfo,ntmarta.lib
_AcceptEx@32,MSWSOCK.dll,AcceptEx,MsWSock.Lib
_AcceptEx@32,MSWSOCK.dll,AcceptEx,mincore.lib
_AcceptEx@32,WSOCK32.dll,1141,WSock32.Lib
_AcceptSecurityContext@36,SCHANNEL.dll,AcceptSecurityContext,schannel.lib
_AcceptSecurityContext@36,Secur32.dll,AcceptSecurityContext,Secur32.Lib
_AcceptSecurityContext@36,Security.dll,AcceptSecurityContext,security.lib
_AcceptSecurityContext@36,SspiCli.dll,AcceptSecurityContext,mincore.lib
_AccessCheck@32,ADVAPI32.dll,AccessCheck,AdvAPI32.Lib
_AccessCheck@32,api-ms-win-downlevel-advapi32-l1-1-0.dll,AccessCheck,mincore_downlevel.lib
_AccessCheck@32,api-ms-win-security-base-l1-2-0.dll,AccessCheck,mincore.lib
_AccessCheckAndAuditAlarmA@44,ADVAPI32.dll,AccessCheckAndAuditAlarmA,AdvAPI32.Lib
_AccessCheckAndAuditAlarmW@44,ADVAPI32.dll,AccessCheckAndAuditAlarmW,AdvAPI32.Lib
_AccessCheckAndAuditAlarmW@44,api-ms-win-downlevel-advapi32-l1-1-0.dll,AccessCheckAndAuditAlarmW,mincore_downlevel.lib
_AccessCheckAndAuditAlarmW@44,api-ms-win-security-base-l1-2-0.dll,AccessCheckAndAuditAlarmW,mincore.lib
_AccessCheckByType@44,ADVAPI32.dll,AccessCheckByType,AdvAPI32.Lib
_AccessCheckByType@44,api-ms-win-downlevel-advapi32-l1-1-0.dll,AccessCheckByType,mincore_downlevel.lib
_AccessCheckByType@44,api-ms-win-security-base-l1-2-0.dll,AccessCheckByType,mincore.lib
_AccessCheckByTypeAndAuditAlarmA@64,ADVAPI32.dll,AccessCheckByTypeAndAuditAlarmA,AdvAPI32.Lib
_AccessCheckByTypeAndAuditAlarmW@64,ADVAPI32.dll,AccessCheckByTypeAndAuditAlarmW,AdvAPI32.Lib
_AccessCheckByTypeAndAuditAlarmW@64,api-ms-win-downlevel-advapi32-l1-1-0.dll,AccessCheckByTypeAndAuditAlarmW,mincore_downlevel.lib
_AccessCheckByTypeAndAuditAlarmW@64,api-ms-win-security-base-l1-2-0.dll,AccessCheckByTypeAndAuditAlarmW,mincore.lib
_AccessCheckByTypeResultList@44,ADVAPI32.dll,AccessCheckByTypeResultList,AdvAPI32.Lib
_AccessCheckByTypeResultList@44,api-ms-win-downlevel-advapi32-l1-1-0.dll,AccessCheckByTypeResultList,mincore_downlevel.lib
_AccessCheckByTypeResultList@44,api-ms-win-security-base-l1-2-0.dll,AccessCheckByTypeResultList,mincore.lib
_AccessCheckByTypeResultListAndAuditAlarmA@64,ADVAPI32.dll,AccessCheckByTypeResultListAndAuditAlarmA,AdvAPI32.Lib
_AccessCheckByTypeResultListAndAuditAlarmByHandleA@68,ADVAPI32.dll,AccessCheckByTypeResultListAndAuditAlarmByHandleA,AdvAPI32.Lib
_AccessCheckByTypeResultListAndAuditAlarmByHandleW@68,ADVAPI32.dll,AccessCheckByTypeResultListAndAuditAlarmByHandleW,AdvAPI32.Lib
_AccessCheckByTypeResultListAndAuditAlarmByHandleW@68,api-ms-win-downlevel-advapi32-l1-1-0.dll,AccessCheckByTypeResultListAndAuditAlarmByHandleW,mincore_downlevel.lib
_AccessCheckByTypeResultListAndAuditAlarmByHandleW@68,api-ms-win-security-base-l1-2-0.dll,AccessCheckByTypeResultListAndAuditAlarmByHandleW,mincore.lib
_AccessCheckByTypeResultListAndAuditAlarmW@64,ADVAPI32.dll,AccessCheckByTypeResultListAndAuditAlarmW,AdvAPI32.Lib
_AccessCheckByTypeResultListAndAuditAlarmW@64,api-ms-win-downlevel-advapi32-l1-1-0.dll,AccessCheckByTypeResultListAndAuditAlarmW,mincore_downlevel.lib
_AccessCheckByTypeResultListAndAuditAlarmW@64,api-ms-win-security-base-l1-2-0.dll,AccessCheckByTypeResultListAndAuditAlarmW,mincore.lib
_AccessibleChildren@20,OLEACC.dll,AccessibleChildren,OleAcc.Lib
_AccessibleObjectFromEvent@20,OLEACC.dll,AccessibleObjectFromEvent,OleAcc.Lib
_AccessibleObjectFromPoint@16,OLEACC.dll,AccessibleObjectFromPoint,OleAcc.Lib
_AccessibleObjectFromWindow@16,OLEACC.dll,AccessibleObjectFromWindow,OleAcc.Lib
_AccessibleObjectFromWindowTimeout@24,OLEACC.dll,AccessibleObjectFromWindowTimeout,OleAcc.Lib
_AcquireCredentialsHandleA@36,SCHANNEL.dll,AcquireCredentialsHandleA,schannel.lib
_AcquireCredentialsHandleA@36,Secur32.dll,AcquireCredentialsHandleA,Secur32.Lib
_AcquireCredentialsHandleA@36,Security.dll,AcquireCredentialsHandleA,security.lib
_AcquireCredentialsHandleA@36,SspiCli.dll,AcquireCredentialsHandleA,mincore.lib
_AcquireCredentialsHandleW@36,SCHANNEL.dll,AcquireCredentialsHandleW,schannel.lib
_AcquireCredentialsHandleW@36,Secur32.dll,AcquireCredentialsHandleW,Secur32.Lib
_AcquireCredentialsHandleW@36,Security.dll,AcquireCredentialsHandleW,security.lib
_AcquireCredentialsHandleW@36,SspiCli.dll,AcquireCredentialsHandleW,mincore.lib
_AcquireDeveloperLicense@8,WSClient.dll,AcquireDeveloperLicense,wsclient.lib
_AcquireSRWLockExclusive@4,KERNEL32.dll,AcquireSRWLockExclusive,kernel32.Lib
_AcquireSRWLockExclusive@4,api-ms-win-core-synch-l1-2-0.dll,AcquireSRWLockExclusive,mincore.lib
_AcquireSRWLockShared@4,KERNEL32.dll,AcquireSRWLockShared,kernel32.Lib
_AcquireSRWLockShared@4,api-ms-win-core-synch-l1-2-0.dll,AcquireSRWLockShared,mincore.lib
_ActivateActCtx@8,KERNEL32.dll,ActivateActCtx,kernel32.Lib
_ActivateAudioInterfaceAsync@20,MMDevAPI.DLL,17,mmdevapi.lib
_ActivateKeyboardLayout@8,USER32.dll,ActivateKeyboardLayout,User32.Lib
_AdamFetchDemotionInfo@20,NTDSETUP.dll,AdamFetchDemotionInfo,ntdsetup.lib
